"","ISSUENO","ISSUEDATE","ISSUETIME","VIODESCRIPTION","LOCATIONDESC1"
"139211",662601181,"3/7/12","2:10:00 AM","PARKED POSTED PRIVATE PROPERTY","1350 E LOCUST ST (LOT)"
"641244",465818566,"11/9/12","3:20:00 PM","METER PARKING VIOLATION","1123 N 8TH ST"
"718658",466670654,"12/18/12","10:45:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1632 LAFAYETTE PL"
"163505",460950534,"3/18/12","4:10:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","156 W WISCONSIN AVE"
"101480",460326064,"2/17/12","12:08:00 PM","METER PARKING VIOLATION","340 E MICHIGAN ST"
"348902",462555192,"6/18/12","2:29:00 PM","METER PARKING VIOLATION","615 W MITCHELL ST"
"629203",465413071,"11/5/12","5:17:00 PM","RESIDENTIAL PARKING PROGRAM","3058 N FREDERICK AVE"
"738374",466942571,"12/29/12","4:34:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","268 E ERIE ST"
"585323",465189771,"10/13/12","2:48:00 PM","METER PARKING VIOLATION","1300 E BRADY ST"
"22760",459317515,"1/11/12","6:31:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","3267 S 16TH ST"
"12258",459330981,"1/6/12","4:33:00 AM","NIGHT PARKING","3385 N 46TH ST"
"667431",465857781,"11/25/12","4:25:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","215 W WISCONSIN AVE"
"38990",459686916,"1/20/12","8:29:00 PM","METER PARKING VIOLATION","1141 N 5 TH ST"
"689621",466217706,"12/5/12","2:41:00 AM","NIGHT PARKING - WRONG SIDE","1509 S 25TH ST"
"503467",464514385,"9/6/12","5:23:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","2949 N PROSPECT AVE"
"55101",459841955,"1/27/12","5:05:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2422 E WEBSTER PL"
"447168",463760625,"8/8/12","2:04:00 AM","NIGHT PARKING - INELIGIBLE VEHICLE","1322 N ASTOR ST"
"402433",463239674,"7/16/12","4:14:00 PM","METER PARKING VIOLATION","2200 N PROSPECT AVE"
"402396",463239921,"7/16/12","7:21:00 PM","METER PARKING VIOLATION","1935 N FARWELL AVE"
"650035",465753245,"11/14/12","4:50:00 AM","NIGHT PARKING - WRONG SIDE","3034 N 21ST ST"
"527279",464690785,"9/15/12","5:29:00 AM","NIGHT PARKING - WRONG SIDE","713 S 38TH ST"
"21988",459419704,"1/11/12","4:51:00 AM","NIGHT PARKING","2206 W KILBOURN AVE"
"64506",459898994,"2/1/12","11:49:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","2729 N 49TH ST"
"454650",463297446,"8/11/12","3:50:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","605 N 20TH ST"
"84096",460021962,"2/10/12","3:07:00 AM","NIGHT PARKING - WINTER RESTRICTED","3622 W TOWNSEND ST"
"701246",466396722,"12/10/12","3:35:00 AM","NIGHT PARKING - WINTER RESTRICTED","1827 E LOCUST ST"
"128460",460535331,"3/1/12","4:17:00 AM","NIGHT PARKING - WRONG SIDE","2330 S CHASE AVE"
"342049",462765564,"6/13/12","5:35:00 PM","METER PARKING VIOLATION","435 N WATER ST"
"190826",461230066,"3/31/12","4:08:00 AM","NIGHT PARKING - WRONG SIDE","707 S 2ND ST"
"8487",459295244,"1/5/12","3:06:00 AM","NIGHT PARKING","3616 N 36TH ST"
"123469",460586011,"2/28/12","9:31:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","235 W WISCONSIN AVE"
"675180",466092314,"11/29/12","4:48:00 PM","METER PARKING VIOLATION","734 N 2ND ST"
"434740",662162653,"8/1/12","11:12:00 AM","PARKING IN EXCESS OF 24 HOURS","5101 W WASHINGTON BLVD"
"462105",463966381,"8/15/12","5:47:00 AM","NIGHT PARKING","8024 W HAMPTON AVE"
"154157",458341693,"3/14/12","5:09:00 AM","NIGHT PARKING","1638 S 13TH ST"
"287821",462216823,"5/17/12","4:27:00 AM","NIGHT PARKING - WRONG SIDE","2617 S CLEMENT AVE"
"32530",459266592,"1/17/12","12:36:00 PM","METER PARKING VIOLATION","315 W MICHIGAN ST ST"
"672337",466005816,"11/28/12","10:43:00 AM","METER PARKING VIOLATION","730 N WATER ST"
"387361",463106980,"7/7/12","5:49:00 PM","METER PARKING VIOLATION","1942 N FARWELL AVE"
"713999",466712050,"12/15/12","4:59:00 AM","NIGHT PARKING - WRONG SIDE","3045 N 53RD ST"
"78930",459971153,"2/8/12","1:02:00 PM","METER PARKING VIOLATION","327 W WISCONSIN AVE"
"422858",463357403,"7/26/12","5:35:00 PM","METER PARKING VIOLATION","713 E WELLS ST"
"522085",464647153,"9/13/12","4:46:00 AM","NIGHT PARKING","6070 N 42ND ST"
"274776",462057525,"5/11/12","4:47:00 PM","METER PARKING VIOLATION","415 N 2ND ST"
"188873",461133411,"3/30/12","3:34:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1119 E KNAPP ST"
"281040",461912964,"5/15/12","11:06:00 AM","METER PARKING VIOLATION","218 W WISCONSIN AVE"
"140609",460702642,"3/7/12","3:46:00 AM","PARKED ON SIDEWALK (SIDEWALK AREA)","4517 N 85TH ST"
"84200",460091472,"2/10/12","2:45:00 AM","NIGHT PARKING - WRONG SIDE","4228 S 52 ST"
"462124",463970452,"8/15/12","2:21:00 AM","NIGHT PARKING - WRONG SIDE","4409 S PINE AVE"
"355793",462649541,"6/21/12","5:56:00 PM","METER PARKING VIOLATION","1215 N 4TH ST"
"47875",459592136,"1/25/12","9:58:00 AM","METER PARKING VIOLATION","3108 N DOWNER AVE"
"573801",465089461,"10/8/12","2:36:00 PM","METER PARKING VIOLATION","2223 N PROSPECT AVE"
"588590",464817231,"10/16/12","3:59:00 PM","METER PARKING VIOLATION","705 E WELLS ST"
"17869",459437112,"1/9/12","10:27:00 AM","METER PARKING VIOLATION","612 N 5TH ST"
"677251",466112850,"11/29/12","9:08:00 AM","METER PARKING VIOLATION","902 WELLS ST"
"556062",464952143,"9/29/12","7:13:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","936 W MEINECKE AVE"
"285370",462009413,"5/16/12","1:45:00 PM","METER PARKING VIOLATION","761 N JEFFERSON ST"
"313844",462250681,"5/31/12","10:24:00 PM","PARKED MORE THAN 12 INCHES FROM CURB","118 W WALKER ST"
"495377",464034104,"8/31/12","4:39:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","521 E POLK ST"
"436912",463599975,"8/2/12","7:50:00 PM","METER PARKING VIOLATION","1703 E PROVIDENCE AVE"
"333376",462594613,"6/8/12","3:45:00 PM","METER PARKING VIOLATION","2830 N OAKLAND AVE"
"565146",464209325,"10/3/12","2:19:00 PM","METER PARKING VIOLATION","1702 S 12TH ST"
"366726",462819803,"6/27/12","2:07:00 AM","NIGHT PARKING","2771 N FARWELL AVE"
"430431",463624862,"7/31/12","5:14:00 AM","NIGHT PARKING - WRONG SIDE","2449 N 44TH ST"
"263431",461887086,"5/7/12","5:20:00 AM","NIGHT PARKING","1528 E SAVELAND AVE"
"13717",459275364,"1/6/12","10:49:00 AM","METER PARKING VIOLATION","238 N WATER ST"
"732276",466612355,"12/26/12","12:08:00 PM","PARKED POSTED PRIVATE PROPERTY","6226 W BOBOLINK AVE"
"720039",466535624,"12/19/12","2:20:00 AM","NIGHT PARKING - WINTER RESTRICTED","8701 W APPLETON AVE"
"377788",463104272,"7/2/12","12:55:00 PM","PARKED IN LOADING ZONE","714 N PLANKINTON AVE"
"188860",461244092,"3/30/12","12:43:00 PM","METER PARKING VIOLATION","1030 N 6TH ST"
"42816",459545074,"1/23/12","4:56:00 AM","NIGHT PARKING - WRONG SIDE","1839 W JUNEAU AVE"
"486673",463901874,"8/28/12","5:11:00 AM","NIGHT PARKING","2267 S MOUND ST"
"376145",661898510,"7/1/12","7:41:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","375 N JEFFERSON ST"
"183014",459812264,"3/28/12","4:27:00 AM","NIGHT PARKING - WRONG SIDE","2534 W HIGHLAND AVE"
"257053",461695850,"5/3/12","10:43:00 PM","METER PARKING VIOLATION","2353 N FARWELL AVE"
"176545",461060364,"3/24/12","11:43:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1029 N 9TH ST"
"261956",662551702,"5/6/12","11:30:00 PM","PARKING IN HANDICAPPED AREA","5921 W LISBON AVE"
"19006",459392334,"1/10/12","3:53:00 AM","NIGHT PARKING","5705 N 32ND ST"
"549721",464767914,"9/26/12","5:04:00 PM","METER PARKING VIOLATION","161 N BROADWAY"
"154766",460719033,"3/14/12","11:08:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","8210 W FLORIST ST"
"539492",464659473,"9/21/12","3:17:00 AM","NIGHT PARKING","2736 N 44TH ST"
"740620",466854054,"12/29/12","8:25:00 PM","PARKING IN EXCESS OF 24 HOURS","120 W ORCHARD ST"
"536552",464659215,"9/20/12","5:20:00 PM","METER PARKING VIOLATION","313 N BROADWAY"
"16633",459356133,"1/9/12","2:46:00 AM","NIGHT PARKING","2604 N 39TH ST"
"509343",463638652,"9/7/12","3:53:00 AM","NIGHT PARKING","2120 S 31ST ST"
"485762",463793035,"8/27/12","9:54:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","824 W JUNEAU AVE"
"206328",461282080,"4/9/12","2:14:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3029 N DOWNER AVE"
"714358",466391096,"12/15/12","2:36:00 AM","NIGHT PARKING - WINTER RESTRICTED","2724 E KENWOOD BLVD"
"150151",460803442,"3/12/12","3:32:00 AM","NIGHT PARKING - WRONG SIDE","2752 N HOLTON ST"
"622193",465480654,"11/1/12","4:33:00 AM","NIGHT PARKING","1408 W GREENFIELD AVE"
"343266",462667752,"6/14/12","4:04:00 AM","NIGHT PARKING","7835 W POTOMAC AVE"
"617920",465605571,"10/31/12","4:59:00 PM","METER PARKING VIOLATION","320 E KILBOURN AV"
"483128",464221332,"8/25/12","11:08:00 AM","METER PARKING VIOLATION","2565 N DOWNER AVE"
"679158",465977514,"11/30/12","7:42:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","913 N 23RD ST"
"571104",464601454,"10/6/12","4:57:00 AM","NIGHT PARKING - WRONG SIDE","3876 N 41ST ST"
"437046",463617313,"8/2/12","2:34:00 AM","NIGHT PARKING","3313 N 9TH ST"
"559376",464948256,"10/1/12","1:58:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","822 W JUNEAU AVE"
"18460",459357802,"1/10/12","1:14:00 PM","METER PARKING VIOLATION","719 N 4TH ST"
"362053",662722793,"6/24/12","2:15:00 PM","UNREGISTERED/ IMPROPERLY REGISTERED VEHICLE","1334 N 28TH ST"
"171899",460992092,"3/22/12","2:02:00 AM","NIGHT PARKING","910 E WRIGHT ST"
"356989",462685403,"6/21/12","2:05:00 AM","NIGHT PARKING - WRONG SIDE","3949 N 11TH ST"
"720540",466684330,"12/19/12","3:53:00 AM","NIGHT PARKING - WRONG SIDE","2989 S WENTWORTH AVE"
"491528",463716816,"8/29/12","4:27:00 AM","NIGHT PARKING","921 W WINNEBAGO ST"
"288518",462202565,"5/17/12","12:22:00 PM","TEMPORARY NO PARKING","2328 S 11 ST"
"269890",462106982,"5/9/12","1:39:00 PM","METER PARKING VIOLATION","1200 E BRADY ST"
"267344",461707105,"5/8/12","12:18:00 PM","METER PARKING VIOLATION","760 N JEFFERSON ST"
"197409",461312040,"4/4/12","12:28:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1125 N JACKSON ST"
"27688",459488680,"1/13/12","5:18:00 AM","NIGHT PARKING","2211 N 38TH ST"
"719457",466659384,"12/18/12","6:39:00 PM","PARKED IN CROSSWALK","3102 W MICHIGAN ST"
"407769",463475611,"7/18/12","2:39:00 AM","NIGHT PARKING","305 W VINE ST"
"517425",464532412,"9/11/12","5:22:00 PM","METER PARKING VIOLATION","831 N WATER ST"
"145963",460638861,"3/9/12","12:15:00 PM","METER PARKING VIOLATION","1017 W HISTORIC MITCHELL ST"
"158047",460864681,"3/15/12","3:34:00 PM","METER PARKING VIOLATION","741 N 9TH ST"
"700349",466411842,"12/10/12","4:58:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3029 N STOWELL AVE"
"401943",463383395,"7/16/12","3:43:00 AM","NIGHT PARKING - WRONG SIDE","2064 S 28TH ST"
"642899",465751506,"11/10/12","2:46:00 PM","METER PARKING VIOLATION","2804 N OAKLAND AVE"
"439836",463573051,"8/3/12","5:16:00 AM","NIGHT PARKING - WRONG SIDE","3029 N 9TH ST"
"741266",466955451,"12/31/12","4:21:00 AM","NIGHT PARKING","2322 N OAKLAND AVE"
"665137",466010764,"11/23/12","10:42:00 AM","METER PARKING VIOLATION","1924 E KENILWORTH PL"
"273879",461883376,"5/10/12","3:09:00 PM","VEH FOR SALE ON PUBLIC PROPERTY","2014 E KENILWORTH PL"
"557672",464976750,"10/1/12","9:02:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","616 N 53RD ST"
"482980",464325492,"8/25/12","5:29:00 AM","NIGHT PARKING","2483 N OAKLAND AVE"
"677430",466168102,"11/30/12","2:47:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1940 N BARTLETT AVE"
"244171",461728433,"4/28/12","5:36:00 AM","NIGHT PARKING - WRONG SIDE","812 N 24TH ST"
"673379",466112426,"11/28/12","3:44:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1508 E BRADY ST"
"723444",466794425,"12/20/12","5:19:00 AM","NIGHT PARKING","2230 E WEBSTER PL"
"646886",465751694,"11/13/12","2:12:00 AM","NIGHT PARKING - WRONG SIDE","425 N 39TH ST"
"574067",464916734,"10/8/12","3:52:00 AM","NIGHT PARKING - WRONG SIDE","10330 W RAE AVE"
"720",459180890,"1/2/12","1:15:00 PM","METER PARKING VIOLATION","710 N 2ND ST"
"336064",462790775,"6/11/12","5:38:00 AM","NIGHT PARKING - WRONG SIDE","2521 S 30TH ST"
"264907",462129581,"5/8/12","5:10:00 AM","NIGHT PARKING","1920 E LOCUST ST"
"505044",464343515,"9/6/12","9:27:00 AM","METER PARKING VIOLATION","605 E MICHIGAN ST"
"318835",462464564,"6/2/12","2:05:00 AM","NIGHT PARKING","2056 W VILTER LN"
"375355",463278115,"6/30/12","5:54:00 AM","NIGHT PARKING","2846 N FREDERICK AVE"
"266670",461707293,"5/8/12","1:57:00 PM","METER PARKING VIOLATION","765 N JACKSON ST"
"327263",462045010,"6/6/12","3:27:00 PM","METER PARKING VIOLATION","1515 E BRADY ST"
"16679",459424044,"1/9/12","3:13:00 AM","NIGHT PARKING","2968 S 15TH ST"
"12940",459426542,"1/6/12","3:26:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","2806 W CAPITOL DR"
"620791",465443506,"11/1/12","3:29:00 AM","NIGHT PARKING","3705 N 63RD ST"
"336316",462399685,"6/11/12","11:50:00 AM","METER PARKING VIOLATION","315 W MICHIGAN ST"
"11739",459412074,"1/6/12","8:02:00 AM","RESIDENTIAL PARKING PROGRAM","3046 N CRAMER ST"
"453582",463663686,"8/10/12","4:05:00 AM","NIGHT PARKING","2801 N 54TH ST"
"503314",464294692,"9/5/12","1:08:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2224 E IVANHOE PL"
"568899",464895616,"10/5/12","2:24:00 AM","NIGHT PARKING","2524 S 9TH PL"
"554381",464587303,"9/28/12","3:11:00 AM","NIGHT PARKING","1349 N 36TH ST"
"703784",466420883,"12/11/12","3:13:00 AM","NIGHT PARKING - WRONG SIDE","105 E HIGHLAND AVE"
"575261",465101291,"10/9/12","3:27:00 PM","TOW-AWAY ZONE (POSTED)","208 W WISCONSIN AVE"
"97632",460096921,"2/16/12","4:41:00 AM","NIGHT PARKING - WRONG SIDE","3420 W MEINECKE AVE"
"587149",465163462,"10/15/12","3:15:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1221 W VLIET ST"
"356797",462888856,"6/21/12","2:38:00 AM","NIGHT PARKING","2132 W MICHIGAN ST"
"410080",463476134,"7/19/12","9:28:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","1700 W OHIO AVE"
"556213",465015320,"9/29/12","2:59:00 AM","NIGHT PARKING","3329 N NEWHALL ST"
"419866",463689332,"7/25/12","7:56:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2302 E WEBSTER PL"
"574866",464961512,"10/9/12","3:57:00 AM","NIGHT PARKING - WRONG SIDE","1355 N HAWLEY RD"
"30583",459669302,"1/14/12","3:59:00 AM","NIGHT PARKING","2908 N MARYLAND AVE"
"284278",462126836,"5/16/12","4:55:00 AM","NIGHT PARKING - WRONG SIDE","6914 N 37TH ST"
"268818",462064606,"5/9/12","2:02:00 AM","NIGHT PARKING","2075 S 13TH ST"
"323607",462659444,"6/5/12","3:05:00 AM","NIGHT PARKING","3208 W PAINE ST"
"461465",463923902,"8/15/12","5:59:00 AM","NIGHT PARKING - WRONG SIDE","2717 N 39TH ST"
"547932",464872531,"9/25/12","4:50:00 AM","NIGHT PARKING - WRONG SIDE","3235 S PINE AVE"
"572330",464863431,"10/7/12","11:47:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1902 N OAKLAND AVE"
"515049",464354166,"9/11/12","3:00:00 AM","NIGHT PARKING","2558 N 61ST ST"
"225910",461665072,"4/19/12","1:26:00 PM","METER PARKING VIOLATION","1038 N MARKET ST"
"48017",459592571,"1/25/12","11:33:00 AM","METER PARKING VIOLATION","3104 N DOWNER AVE"
"119151",460570773,"2/26/12","6:51:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","1816 E WINDSOR PL"
"275476",461794351,"5/11/12","1:05:00 PM","METER PARKING VIOLATION","1515 E BRADY ST"
"354442",462837690,"6/20/12","8:30:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","813 S 26 ST"
"669681",466095490,"11/27/12","5:58:00 AM","NIGHT PARKING","3508 N 61ST ST"
"87607",459995642,"2/11/12","11:43:00 AM","METER PARKING VIOLATION","530 N 16TH ST"
"304727",462377101,"5/25/12","5:03:00 AM","NIGHT PARKING - WRONG SIDE","8805 W BENDER AVE"
"154163",460746053,"3/14/12","10:26:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","823 W JUNEAU AVE"
"147046",460708345,"3/10/12","11:08:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1710 N ARLINGTON PL LOT"
"513052",464489314,"9/10/12","4:04:00 AM","NIGHT PARKING","2235 W KILBOURN AVE"
"273581",462084733,"5/10/12","11:33:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","3308 N DOWNER AVE"
"72728",458671102,"2/5/12","11:11:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","616 W WASHINGTON ST"
"172215",460956451,"3/22/12","5:30:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1035 N 4TH ST"
"436264",463665834,"8/2/12","5:54:00 AM","NIGHT PARKING","2671 N 45TH ST"
"59453",459977641,"1/30/12","5:56:00 AM","NIGHT PARKING","3043 N 2ND ST"
"413291",463481174,"7/21/12","12:41:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","403 E JUNEAU AVE"
"93089",460333381,"2/15/12","5:56:00 AM","NIGHT PARKING - WRONG SIDE","1323 N JACKSON ST"
"565106",464980762,"10/3/12","12:15:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1029 N JACKSON ST"
"152118",460866206,"3/13/12","2:58:00 AM","NIGHT PARKING","3312 W MC KINLEY BD"
"452422",463888121,"8/10/12","5:30:00 AM","NIGHT PARKING","1909 S 12TH ST"
"246059",662136064,"4/29/12","12:33:00 PM","PARKED MORE THAN 12 INCHES FROM CURB","2101 W BEECHER ST"
"576100",464905302,"10/9/12","4:36:00 AM","NIGHT PARKING - WRONG SIDE","3303 S 12TH ST"
"360",459165372,"1/2/12","9:13:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","1705 E NEWPORT AVE"
"563425",465037215,"10/3/12","3:38:00 AM","NIGHT PARKING","4822 W HOWARD AVE"
"276578",461826676,"5/11/12","1:13:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3055 N DOWNER AVE"
"620360",465401160,"10/31/12","2:59:00 AM","NIGHT PARKING","3167 N HUMBOLDT BLVD"
"136444",460463636,"3/6/12","3:28:00 AM","NIGHT PARKING","1818 W STATE ST"
"151566",460765594,"3/13/12","2:30:00 PM","METER PARKING VIOLATION","145 E JUNEAU AVE"
"380923",462891542,"7/3/12","4:22:00 AM","NIGHT PARKING","2743 W HIGHLAND BD"
"570880",465120670,"10/6/12","3:58:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1115 N 5TH ST"
"457909",463815472,"8/13/12","4:10:00 AM","NIGHT PARKING","4431 N 45TH ST"
"491450",463952764,"8/29/12","3:29:00 AM","NIGHT PARKING - WRONG SIDE","4933 N 58TH ST"
"597339",465211106,"10/19/12","3:56:00 AM","NIGHT PARKING - WRONG SIDE","4325 N 63RD ST"
"43474",459509676,"1/23/12","1:51:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1529 S PEARL ST"
"207335",461358704,"4/9/12","2:25:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3443 N FREDERICK AVE"
"686047",466206425,"12/4/12","4:01:00 AM","NIGHT PARKING - WRONG SIDE","5236 N 36TH ST"
"139955",460675165,"3/7/12","3:59:00 PM","PARKED IN SCHOOL ZONE","1657 S 5TH ST"
"664724",465980351,"11/23/12","1:16:00 PM","METER PARKING VIOLATION","706 S 5TH ST"
"70216",460074720,"2/3/12","4:58:00 AM","NIGHT PARKING - WINTER RESTRICTED","1114 N 4TH ST"
"386809",463047620,"7/7/12","2:23:00 AM","NIGHT PARKING","1230 N 46TH ST"
"513156",463978255,"9/10/12","2:00:00 AM","NIGHT PARKING - WRONG SIDE","3344 S WHITNALL AVE"
"204475",461171631,"4/7/12","4:38:00 AM","NIGHT PARKING","410 W FLORIDA ST"
"634188",465114462,"11/7/12","4:37:00 PM","METER PARKING VIOLATION","302 W WELLS ST"
"592247",465320660,"10/17/12","3:37:00 AM","NIGHT PARKING - WRONG SIDE","2533 S 5TH ST"
"716173",466698315,"12/17/12","5:46:00 AM","NIGHT PARKING - WRONG SIDE","4671 N 37TH"
"611422",465491036,"10/26/12","7:16:00 PM","METER PARKING VIOLATION","1130 N 5TH ST"
"69256",459932524,"2/3/12","10:37:00 AM","METER PARKING VIOLATION","937 N MILWAUKEE ST"
"165371",459670293,"3/19/12","5:54:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2410 S 20 ST"
"401670",463161742,"7/15/12","6:08:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1107 S 33RD ST"
"553453",464474264,"9/28/12","2:24:00 PM","PARKED IN SCHOOL ZONE","4449 N 52ND ST"
"297452",462105556,"5/22/12","5:23:00 AM","NIGHT PARKING","8837 W HERBERT AVE"
"585551",662600293,"10/13/12","12:49:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","4037 W FORD DU LAC AVE"
"302394",462181565,"5/24/12","4:22:00 AM","NIGHT PARKING","6327 N DENMARK ST"
"171891",461115804,"3/22/12","2:39:00 AM","NIGHT PARKING","2635 N FARWELL AVE"
"653798",465961156,"11/16/12","1:27:00 PM","METER PARKING VIOLATION","228 E MASON ST"
"127107",460265945,"2/29/12","4:11:00 PM","METER PARKING VIOLATION","1007 W HISTORIC MITCHELL ST"
"29923",459324180,"1/14/12","4:05:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1957 N FARWELL AVE"
"135417",460589415,"3/5/12","3:59:00 AM","NIGHT PARKING","1422 S 10TH ST"
"378354",463034563,"7/2/12","2:14:00 PM","METER PARKING VIOLATION","730 N VAN BUREN ST"
"108470",460348125,"2/21/12","5:48:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1606 E ROYALL PL"
"718489",466606840,"12/18/12","2:03:00 AM","NIGHT PARKING - WRONG SIDE","4244 N 104TH ST"
"631993",465684553,"11/6/12","4:42:00 AM","NIGHT PARKING - WRONG SIDE","3122 N 44TH ST"
"421638",463321832,"7/25/12","10:40:00 AM","METER PARKING VIOLATION","1221 N 6TH ST"
"286753",462159331,"5/17/12","5:25:00 AM","NIGHT PARKING","2069 S 32 ST"
"256409",461870835,"5/3/12","2:13:00 AM","NIGHT PARKING","2837 W WELLS ST"
"286682",461725865,"5/17/12","9:47:00 PM","PARKED IN CROSSWALK","2002 N CAMBRIDGE AVE"
"226791",461561796,"4/19/12","9:12:00 AM","METER PARKING VIOLATION","2218 N PROSPECT AVE"
"240703",461655390,"4/26/12","2:58:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2611 E LINNWOOD AVE"
"661319",465805303,"11/20/12","1:08:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","1512 W STATE ST"
"91654",460084671,"2/14/12","3:41:00 AM","NIGHT PARKING","3507 N 4TH ST"
"644694",465948302,"11/12/12","6:32:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","649 N 2ND ST"
"76873",458742373,"2/7/12","6:05:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","5023 W CHAMBERS ST"
"129328",460459856,"3/1/12","3:36:00 PM","PARKED IN SCHOOL ZONE","2339 N 51ST ST"
"320858",462267864,"6/4/12","11:33:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2205 E LOCUST ST"
"693832",466416952,"12/6/12","12:04:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","2349 10TH ST"
"607885",465197036,"10/25/12","11:00:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1328 N 37 PL"
"136284",460612913,"3/5/12","2:12:00 PM","METER PARKING VIOLATION","722 N JAMES LOVELL ST"
"637205",465730576,"11/8/12","4:53:00 AM","NIGHT PARKING - WRONG SIDE","522 E POTTER AVE"
"566177",464745282,"10/4/12","7:55:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","7502 W DIXON ST"
"434457",463681890,"8/1/12","4:25:00 AM","NIGHT PARKING","4715 W MELVINA ST"
"427808",463614491,"7/29/12","6:28:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","635 W WISCONSIN AVE"
"473293",463677896,"8/21/12","10:34:00 AM","METER PARKING VIOLATION","3527 W BURLEIGH ST"
"47455",458252616,"1/25/12","5:37:00 PM","METER PARKING VIOLATION","2150 N PROSPECT AVE"
"202071",461362031,"4/6/12","10:03:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON LOT"
"645873",465671076,"11/13/12","10:13:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","1130 N 10TH ST"
"310622",462342963,"5/30/12","2:25:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","518 N 20TH ST"
"517823",464494984,"9/12/12","3:42:00 AM","NIGHT PARKING","4443 N 22ND ST"
"292130",462133711,"5/19/12","4:36:00 AM","NIGHT PARKING - WRONG SIDE","2415 N 49TH ST"
